Date & time,Open,High,Low,Close,Volume
30.09.2024 17:05:00.000,1.11612,1.11612,1.11595,1.11602,356.21
30.09.2024 17:06:00.000,1.11603,1.11632,1.11599,1.11626,256.41
30.09.2024 17:07:00.000,1.11626,1.11629,1.11581,1.11587,279.38
30.09.2024 17:08:00.000,1.11587,1.11595,1.11576,1.11576,286.14
30.09.2024 17:09:00.000,1.11576,1.11576,1.11561,1.11565,316.17
30.09.2024 17:10:00.000,1.11564,1.11564,1.11523,1.11530,488.25
30.09.2024 17:11:00.000,1.11530,1.11550,1.11530,1.11539,305.91
30.09.2024 17:12:00.000,1.11539,1.11567,1.11532,1.11565,326.16
30.09.2024 17:13:00.000,1.11564,1.11588,1.11561,1.11587,318.69
30.09.2024 17:14:00.000,1.11588,1.11591,1.11565,1.11568,296.42
30.09.2024 17:15:00.000,1.11571,1.11581,1.11559,1.11576,439.11
30.09.2024 17:16:00.000,1.11576,1.11581,1.11558,1.11570,365.76
30.09.2024 17:17:00.000,1.11569,1.11571,1.11547,1.11547,239.13
30.09.2024 17:18:00.000,1.11549,1.11550,1.11525,1.11525,280.7
30.09.2024 17:19:00.000,1.11524,1.11524,1.11505,1.11510,721.44
30.09.2024 17:20:00.000,1.11511,1.11536,1.11507,1.11536,298.17
30.09.2024 17:21:00.000,1.11535,1.11565,1.11529,1.11550,399.36
30.09.2024 17:22:00.000,1.11551,1.11554,1.11525,1.11532,596.07
30.09.2024 17:23:00.000,1.11531,1.11550,1.11523,1.11550,626.85
30.09.2024 17:24:00.000,1.11554,1.11560,1.11535,1.11536,390.67
30.09.2024 17:25:00.000,1.11536,1.11538,1.11520,1.11536,348.93
30.09.2024 17:26:00.000,1.11534,1.11536,1.11519,1.11525,336.08
30.09.2024 17:27:00.000,1.11526,1.11528,1.11490,1.11490,502.44
30.09.2024 17:28:00.000,1.11489,1.11510,1.11488,1.11494,991.63
30.09.2024 17:29:00.000,1.11494,1.11495,1.11478,1.11493,742.7
30.09.2024 17:30:00.000,1.11493,1.11494,1.11476,1.11479,816.6
30.09.2024 17:31:00.000,1.11478,1.11479,1.11457,1.11459,507.43
30.09.2024 17:32:00.000,1.11460,1.11475,1.11455,1.11465,480
30.09.2024 17:33:00.000,1.11465,1.11492,1.11454,1.11492,223.6
30.09.2024 17:34:00.000,1.11492,1.11492,1.11450,1.11462,502.92
30.09.2024 17:35:00.000,1.11464,1.11470,1.11459,1.11465,194.49
30.09.2024 17:36:00.000,1.11464,1.11470,1.11460,1.11463,174.26
30.09.2024 17:37:00.000,1.11463,1.11463,1.11421,1.11423,548.95
30.09.2024 17:38:00.000,1.11424,1.11432,1.11420,1.11427,360.54
30.09.2024 17:39:00.000,1.11428,1.11431,1.11407,1.11409,320.76
30.09.2024 17:40:00.000,1.11409,1.11418,1.11409,1.11411,300.06
30.09.2024 17:41:00.000,1.11412,1.11418,1.11409,1.11414,241.38
30.09.2024 17:42:00.000,1.11413,1.11435,1.11413,1.11426,384.96
30.09.2024 17:43:00.000,1.11425,1.11435,1.11416,1.11417,108.72
30.09.2024 17:44:00.000,1.11416,1.11419,1.11406,1.11410,234.5
30.09.2024 17:45:00.000,1.11409,1.11416,1.11405,1.11410,147.06
30.09.2024 17:46:00.000,1.11410,1.11428,1.11408,1.11428,195.93
30.09.2024 17:47:00.000,1.11429,1.11429,1.11411,1.11411,109.05
30.09.2024 17:48:00.000,1.11412,1.11416,1.11405,1.11410,185.79
30.09.2024 17:49:00.000,1.11409,1.11413,1.11405,1.11406,214.29
30.09.2024 17:50:00.000,1.11406,1.11409,1.11387,1.11388,330.92
30.09.2024 17:51:00.000,1.11387,1.11392,1.11364,1.11364,251.88
30.09.2024 17:52:00.000,1.11363,1.11369,1.11350,1.11365,341.12
30.09.2024 17:53:00.000,1.11364,1.11368,1.11352,1.11355,302.46
30.09.2024 17:54:00.000,1.11354,1.11370,1.11354,1.11360,113.97
30.09.2024 17:55:00.000,1.11361,1.11384,1.11360,1.11379,224.91
30.09.2024 17:56:00.000,1.11378,1.11397,1.11376,1.11396,238.89
30.09.2024 17:57:00.000,1.11397,1.11408,1.11391,1.11408,275.49
30.09.2024 17:58:00.000,1.11412,1.11438,1.11409,1.11432,138.72
30.09.2024 17:59:00.000,1.11434,1.11444,1.11434,1.11441,206.67
30.09.2024 18:00:00.000,1.11442,1.11471,1.11442,1.11465,348.36
30.09.2024 18:01:00.000,1.11466,1.11469,1.11434,1.11435,272.43
30.09.2024 18:02:00.000,1.11435,1.11446,1.11420,1.11426,406.65
30.09.2024 18:03:00.000,1.11425,1.11438,1.11421,1.11437,234.48
30.09.2024 18:04:00.000,1.11438,1.11447,1.11429,1.11435,234.77
30.09.2024 18:05:00.000,1.11436,1.11454,1.11432,1.11454,241.74
